refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,23073,0.294921875,0.119140625,1,1,15,68,1,1265.69677734375,516.471252441406,0,1,objects,big,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,0,23075,0.62890625,0.240234375,2,1,3,13,3,653.833251953125,427.912353515625,0,1,faces,male,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,0,23077,1.06640625,0.19921875,3,1,2,6,5,549.543029785156,645.644348144531,0,1,faces,male,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,0,23078,1.31640625,0.220703125,4,1,4,15,6,671.090148925781,637.737365722656,0,1,faces,female,1,1,faces,P,female,VS,F,1,E05,0.201171875
1,1,0,23079,1.587890625,0.1953125,5,0,6,25,7,754.850463867188,743.513061523438,1,0,NaN,NaN,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,1,23084,2.453125,0.109375,6,0,1,3,12,553.034545898438,332.002471923828,0,1,faces,male,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,1,23087,2.91015625,0.19140625,7,0,10,37,15,960.407348632812,100.593719482422,0,1,faces,male,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,0,23088,3.150390625,0.130859375,8,0,14,46,16,1087.22106933594,109.582618713379,0,1,faces,female,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,1,23089,3.361328125,0.123046875,9,0,13,45,17,926.23486328125,917.552429199219,0,1,faces,female,1,1,faces,P,female,VS,F,1,E05,0.201171875
2,1,1,23091,3.771484375,0.1171875,10,0,6,25,19,783.520812988281,752.014343261719,1,0,NaN,NaN,1,1,faces,P,female,VS,F,1,E05,0.201171875
0,1,0,23112,0.24609375,0.251953125,1,1,7,41,1,940.838562011719,529.871337890625,0,1,faces,male,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23113,0.556640625,0.162109375,2,1,4,14,2,638.741638183594,535.236389160156,0,1,objects,big,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23114,0.775390625,0.185546875,3,1,5,25,3,723.580261230469,762.073547363281,0,1,objects,big,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23116,1.177734375,0.17578125,4,1,9,56,5,1164.36730957031,249.487609863281,0,1,objects,small,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23117,1.39453125,0.197265625,5,0,10,64,6,1248.2802734375,171.180999755859,0,1,objects,small,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23118,1.654296875,0.1484375,6,0,12,66,7,1274.79919433594,334.161712646484,0,1,faces,male,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,1,23119,1.876953125,0.1015625,7,0,3,12,8,645.873474121094,369.636016845703,0,1,faces,female,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23121,2.3828125,0.24609375,8,0,1,1,10,566.09912109375,131.641448974609,0,1,faces,female,1,1,faces,P,male,VS,I,2,E05,4.400390625
1,0,0,23124,3.0390625,0.21875,9,0,13,71,13,1256.96520996094,873.357360839844,1,0,NaN,NaN,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,0,1,23125,3.291015625,0.212890625,10,0,14,79,14,1362.08190917969,759.220153808594,0,1,faces,female,1,1,faces,P,male,VS,I,2,E05,4.400390625
2,0,1,23127,3.662109375,0.10546875,11,0,13,71,16,1244.46313476562,885.345764160156,1,0,NaN,NaN,1,1,faces,P,male,VS,I,2,E05,4.400390625
0,1,0,23142,0.263671875,0.1484375,1,1,11,61,1,1162.24719238281,755.170166015625,0,1,faces,male,0,1,faces,A,male,VS,I,3,E05,8.599609375
0,1,1,23143,0.4453125,0.12890625,2,1,10,51,2,1078.72912597656,676.609741210938,0,1,faces,male,0,1,faces,A,male,VS,I,3,E05,8.599609375
0,1,0,23145,0.767578125,0.193359375,3,1,4,17,4,621.947082519531,867.880126953125,0,1,faces,female,0,1,faces,A,male,VS,I,3,E05,8.599609375
