refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
1,1,0,24119,0.35546875,0.16796875,1,1,5,14,1,663.840515136719,503.790100097656,0,1,faces,female,0,0,faces,A,female,VS,I,1,E09,0.201171875
0,1,0,24120,0.541015625,0.12109375,2,1,4,13,2,649.903259277344,468.792694091797,0,1,objects,big,0,0,faces,A,female,VS,I,1,E09,0.201171875
1,1,0,24121,0.705078125,0.107421875,3,1,6,15,3,701.327331542969,621.147705078125,0,1,faces,male,0,0,faces,A,female,VS,I,1,E09,0.201171875
2,1,0,24122,0.8359375,0.34375,4,1,5,14,4,658.849060058594,582.709716796875,0,1,faces,female,0,0,faces,A,female,VS,I,1,E09,0.201171875
0,1,0,24124,1.392578125,0.140625,5,0,9,33,6,881.080688476562,675.228332519531,0,1,faces,female,0,0,faces,A,female,VS,I,1,E09,0.201171875
2,1,0,24125,1.578125,0.150390625,6,0,6,15,7,666.959655761719,661.666625976562,0,1,faces,male,0,0,faces,A,female,VS,I,1,E09,0.201171875
3,1,1,24126,1.75390625,0.265625,7,0,5,14,8,667.403503417969,570.483032226562,0,1,faces,female,0,0,faces,A,female,VS,I,1,E09,0.201171875
3,1,1,24128,2.78515625,0.37109375,8,0,6,15,10,657.765930175781,680.9306640625,0,1,faces,male,0,0,faces,A,female,VS,I,1,E09,0.201171875
0,1,0,24130,3.36328125,0.314453125,9,0,3,6,12,550.145263671875,657.333923339844,0,1,faces,male,0,0,faces,A,female,VS,I,1,E09,0.201171875
4,1,1,24131,3.712890625,0.1484375,10,0,5,14,13,652.250366210938,585.97314453125,0,1,faces,female,0,0,faces,A,female,VS,I,1,E09,0.201171875
0,1,0,24147,0.294921875,0.19140625,1,1,5,41,2,990.158264160156,578.827453613281,0,1,faces,male,0,1,objects,P,big,VS,O,2,E09,4.400390625
0,1,0,24150,2.396484375,0.220703125,2,1,8,47,5,1069.03051757812,276.288940429688,0,1,faces,male,0,1,objects,P,big,VS,O,2,E09,4.400390625
1,1,1,24152,2.8515625,0.236328125,3,1,15,80,7,1370.99475097656,858.518127441406,0,1,objects,big,0,1,objects,P,big,VS,O,2,E09,4.400390625
2,1,0,24155,3.861328125,0.41015625,4,1,15,80,10,1360.4248046875,844.830627441406,0,1,objects,big,0,1,objects,P,big,VS,O,2,E09,4.400390625
1,1,0,24172,0.46484375,0.1796875,1,1,2,5,2,562.888671875,517.325927734375,0,1,objects,small,0,0,faces,A,female,EX,F,3,E09,8.599609375
0,1,0,24173,0.66796875,0.150390625,2,1,1,4,3,560.391174316406,473.939514160156,0,1,objects,small,0,0,faces,A,female,EX,F,3,E09,8.599609375
0,1,0,24175,1.078125,0.21484375,3,1,5,21,5,772.692565917969,369.168975830078,0,1,faces,male,0,0,faces,A,female,EX,F,3,E09,8.599609375
0,1,0,24177,1.587890625,0.16015625,4,1,10,56,7,1157.24890136719,253.633071899414,0,1,faces,male,0,0,faces,A,female,EX,F,3,E09,8.599609375
0,1,0,24179,2.021484375,0.3125,5,0,8,34,9,859.416381835938,763.793334960938,0,1,faces,female,0,0,faces,A,female,EX,F,3,E09,8.599609375
0,1,0,24183,3.099609375,0.23046875,6,0,9,40,13,956.176391601562,456.016143798828,0,1,faces,male,0,0,faces,A,female,EX,F,3,E09,8.599609375
