refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
1,1,1,20987,0.31640625,0.173828125,1,1,9,33,1,853.394592285156,664.492736816406,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875
1,1,0,20989,0.92578125,0.18359375,2,1,5,14,3,612.501281738281,541.9912109375,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875
0,1,0,20990,1.134765625,0.248046875,3,1,4,13,4,645.153442382812,476.493865966797,0,1,objects,big,0,0,faces,A,female,VS,I,1,E11,0.201171875
2,1,1,20991,1.412109375,0.197265625,4,1,5,14,5,651.787414550781,573.856994628906,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875
0,1,1,20994,2.89453125,0.150390625,5,0,14,54,8,1037.60021972656,903.634948730469,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875
2,1,0,20996,3.9296875,0.125,6,0,9,33,10,889.361938476562,678.611206054688,0,1,faces,female,0,0,faces,A,female,VS,I,1,E11,0.201171875
0,1,1,21006,1.447265625,0.130859375,1,1,1,5,2,528.756896972656,568.411437988281,0,1,objects,big,0,0,objects,P,big,VS,O,2,E11,4.400390625
0,1,0,21010,2.94921875,0.203125,2,1,6,42,6,1000.57366943359,670.282897949219,0,1,faces,female,0,0,objects,P,big,VS,O,2,E11,4.400390625
0,1,0,21012,3.345703125,0.244140625,3,1,4,39,8,974.677062988281,374.415344238281,0,1,faces,female,0,0,objects,P,big,VS,O,2,E11,4.400390625
0,1,0,21013,3.623046875,0.287109375,4,1,8,47,9,1067.28979492188,287.523742675781,0,1,faces,male,0,0,objects,P,big,VS,O,2,E11,4.400390625
0,1,1,21025,0.369140625,0.154296875,1,1,5,21,3,735.127807617188,358.475708007812,0,1,faces,male,0,0,faces,A,female,EX,F,3,E11,8.599609375
0,1,0,21027,0.701171875,0.271484375,2,1,7,28,5,844.443298339844,154.568389892578,0,1,faces,female,0,0,faces,A,female,EX,F,3,E11,8.599609375
0,1,1,21029,2.265625,0.173828125,3,1,8,34,7,850.304931640625,735.950317382812,0,1,faces,female,0,0,faces,A,female,EX,F,3,E11,8.599609375
0,1,0,21031,2.720703125,0.1953125,4,1,6,27,9,786.69873046875,969.62548828125,0,1,faces,female,0,0,faces,A,female,EX,F,3,E11,8.599609375
1,1,0,21044,0.390625,0.1484375,1,1,5,39,2,945.38232421875,307.256195068359,1,0,NaN,NaN,1,0,objects,P,small,VS,O,4,E11,12.798828125
0,1,0,21045,0.568359375,0.126953125,2,1,4,29,3,886.155883789062,286.228790283203,0,1,faces,male,1,0,objects,P,small,VS,O,4,E11,12.798828125
0,1,0,21046,0.73828125,0.208984375,3,1,11,57,4,1156.93615722656,296.252349853516,0,1,faces,female,1,0,objects,P,small,VS,O,4,E11,12.798828125
2,1,0,21047,0.982421875,0.177734375,4,1,5,39,5,966.300659179688,375.86083984375,1,0,NaN,NaN,1,0,objects,P,small,VS,O,4,E11,12.798828125
0,1,0,21061,0.41015625,0.291015625,1,1,7,29,2,869.871643066406,235.290115356445,0,1,faces,male,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21062,0.73828125,0.28515625,2,1,9,38,3,972.581359863281,236.106491088867,0,1,objects,small,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21063,1.072265625,0.1640625,3,1,12,68,4,1244.52709960938,587.390502929688,0,1,faces,male,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21064,1.263671875,0.15625,4,1,11,59,5,1204.38940429688,542.289367675781,0,1,faces,female,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21065,2.125,0.16015625,5,0,6,27,6,767.048278808594,910.274169921875,0,1,faces,female,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21066,2.310546875,0.25,6,0,5,26,7,769.486206054688,840.202087402344,0,1,faces,female,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21068,2.814453125,0.16796875,7,0,13,69,9,1292.94653320312,591.947814941406,0,1,objects,small,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21070,3.181640625,0.353515625,8,0,14,73,11,1376.19030761719,108.98705291748,0,1,faces,female,0,1,faces,A,male,EX,F,5,E11,16.998046875
0,1,0,21084,0.328125,0.208984375,1,1,7,38,1,987.156127929688,259.4521484375,0,1,objects,small,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,1,0,21085,0.5703125,0.19140625,2,1,9,48,2,1082.23107910156,349.944702148438,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21086,0.798828125,0.33203125,3,1,12,56,3,1196.69860839844,262.432800292969,1,0,NaN,NaN,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,1,21087,1.171875,0.140625,4,1,13,67,4,1298.29309082031,478.031402587891,0,1,faces,female,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21090,1.79296875,0.1328125,5,0,11,53,7,1074.72644042969,802.441223144531,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21091,1.9453125,0.140625,6,0,10,52,8,1078.56701660156,758.583740234375,0,1,faces,female,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21092,2.142578125,0.248046875,7,0,15,78,9,1388.0830078125,670.336486816406,0,1,faces,male,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21093,2.49609375,0.23828125,8,0,3,9,10,564.55322265625,896.895935058594,0,1,objects,big,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,0,0,21095,2.85546875,0.25,9,0,4,17,12,657.8232421875,858.728820800781,0,1,objects,big,1,0,faces,P,male,VS,I,6,E11,21.197265625
0,1,0,21104,0.271484375,0.236328125,1,1,5,13,1,672.131408691406,483.443420410156,0,1,faces,female,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,0,21105,0.55859375,0.166015625,2,1,10,60,2,1116.06225585938,679.699157714844,0,1,objects,small,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,0,21109,1.283203125,0.794921875,3,1,11,70,6,1257.47912597656,769.027282714844,0,1,objects,big,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,0,21110,2.14453125,0.138671875,4,1,8,34,7,817.331481933594,765.0166015625,0,1,faces,male,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,1,21111,2.33984375,0.205078125,5,0,3,4,8,588.168151855469,461.781433105469,0,1,objects,big,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,0,21113,2.98828125,0.19921875,6,0,2,2,10,561.096984863281,276.018310546875,0,1,faces,male,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,1,0,21114,3.21484375,0.126953125,7,0,1,1,11,578.052490234375,181.853408813477,0,1,faces,female,1,1,objects,P,big,VS,O,7,E11,25.396484375
0,0,0,21115,3.384765625,0.501953125,8,0,7,29,12,890.953674316406,284.053771972656,1,0,NaN,NaN,1,1,objects,P,big,VS,O,7,E11,25.396484375
1,1,0,21123,0.1953125,0.12109375,1,1,5,31,1,886.468811035156,487.814483642578,0,1,faces,male,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,1,21124,0.345703125,0.197265625,2,1,4,30,2,852.912719726562,386.078704833984,0,1,objects,big,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,0,21126,0.8046875,0.169921875,3,1,3,20,4,728.214050292969,258.966339111328,0,1,objects,small,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,1,21127,1.0234375,0.1875,4,1,2,15,5,667.082824707031,623.359008789062,0,1,objects,big,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,0,21129,1.4296875,0.248046875,5,0,1,8,7,539.89794921875,875.189514160156,0,1,faces,female,1,0,faces,P,male,VS,F,8,E11,29.595703125
1,1,0,21130,1.736328125,0.15234375,6,0,10,45,8,980.846740722656,989.097961425781,0,1,objects,small,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,0,21131,1.955078125,0.1328125,7,0,14,70,9,1264.07019042969,724.111694335938,0,1,faces,male,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,0,0,21132,2.11328125,0.48828125,8,0,13,69,10,1280.91674804688,675.781311035156,1,0,NaN,NaN,1,0,faces,P,male,VS,F,8,E11,29.595703125
2,0,0,21133,2.6640625,0.17578125,9,0,10,45,11,951.326293945312,973.176818847656,0,1,objects,small,1,0,faces,P,male,VS,F,8,E11,29.595703125
2,0,0,21136,3.490234375,0.193359375,10,0,5,31,14,908.115051269531,392.298217773438,0,1,faces,male,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,0,0,21137,3.71484375,0.349609375,11,0,9,39,15,968.87353515625,366.169158935547,0,1,faces,female,1,0,faces,P,male,VS,F,8,E11,29.595703125
0,1,1,21143,0.248046875,0.23828125,1,1,11,66,1,1284.19970703125,323.105987548828,0,1,faces,female,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21145,0.76953125,0.15625,2,1,14,75,3,1364.61499023438,351.940582275391,0,1,objects,small,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21147,1.70703125,0.12890625,3,1,6,35,5,847.426086425781,879.772338867188,0,1,faces,female,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21148,1.890625,0.263671875,4,1,5,14,6,626.503723144531,557.971496582031,0,1,faces,male,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21149,2.1796875,0.173828125,5,0,2,5,7,531.482971191406,544.486450195312,0,1,objects,small,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21150,2.4140625,0.162109375,6,0,1,2,8,560.011352539062,233.216110229492,0,1,faces,male,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21152,3.35546875,0.322265625,7,0,9,59,10,1172.50720214844,522.727905273438,0,1,objects,big,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21153,3.708984375,0.5625,8,0,12,68,11,1260.89501953125,554.253845214844,0,1,objects,big,0,1,faces,A,male,EX,I,9,E11,33.794921875
0,1,0,21163,0.205078125,0.119140625,1,1,14,67,2,1222.74047851562,453.535003662109,0,1,faces,female,0,1,faces,A,male,VS,I,10,E11,37.994140625
0,1,0,21165,0.5078125,0.1484375,2,1,11,47,4,1054.00817871094,236.582626342773,0,1,objects,big,0,1,faces,A,male,VS,I,10,E11,37.994140625
0,1,0,21166,0.697265625,0.205078125,3,1,8,28,5,844.5712890625,150.589233398438,0,1,objects,small,0,1,faces,A,male,VS,I,10,E11,37.994140625
0,1,0,21168,1.126953125,0.123046875,4,1,6,15,7,648.241577148438,639.092041015625,0,1,objects,big,0,1,faces,A,male,VS,I,10,E11,37.994140625
1,1,0,21169,1.291015625,0.138671875,5,0,2,8,8,550.128295898438,828.6103515625,0,1,faces,male,0,1,faces,A,male,VS,I,10,E11,37.994140625
0,1,0,21171,1.646484375,0.126953125,6,0,10,43,10,951.332824707031,755.249816894531,0,1,faces,male,0,1,faces,A,male,VS,I,10,E11,37.994140625
0,1,0,21172,1.8359375,0.2421875,7,0,13,61,11,1185.15393066406,755.988586425781,0,1,faces,female,0,1,faces,A,male,VS,I,10,E11,37.994140625
