refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,1,21045,0.2890625,0.212890625,1,1,6,41,1,982.599243164062,569.147277832031,0,1,objects,big,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21048,0.93359375,0.1640625,2,1,1,3,4,532.285583496094,312.234893798828,0,1,faces,female,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21050,1.314453125,0.267578125,3,1,4,29,6,840.470703125,224.38655090332,0,1,faces,male,0,0,objects,P,small,VS,O,1,J11,0.201171875
1,1,1,21051,1.6484375,0.220703125,4,1,12,74,7,1343.83666992188,201.758682250977,0,1,faces,female,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21053,2.208984375,0.353515625,5,0,13,75,9,1356.56567382812,349.536407470703,0,1,faces,female,0,0,objects,P,small,VS,O,1,J11,0.201171875
2,1,0,21054,2.595703125,0.46484375,6,0,12,74,10,1346.86389160156,242.08642578125,0,1,faces,female,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21055,3.095703125,0.470703125,7,0,11,73,11,1316.90856933594,122.837852478027,0,1,faces,female,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21057,3.798828125,0.552734375,8,0,14,77,13,1375.08984375,556.223510742188,0,1,faces,male,0,0,objects,P,small,VS,O,1,J11,0.201171875
0,1,0,21074,0.267578125,0.31640625,1,1,7,41,1,955.313171386719,542.1396484375,0,1,faces,male,1,0,objects,P,big,VS,O,2,J11,4.400390625
0,1,0,21075,0.630859375,0.3046875,2,1,4,25,2,750.751953125,762.482666015625,0,1,objects,small,1,0,objects,P,big,VS,O,2,J11,4.400390625
0,1,1,21076,0.982421875,0.171875,3,1,8,43,3,978.633544921875,744.667663574219,0,1,faces,female,1,0,objects,P,big,VS,O,2,J11,4.400390625
