refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,1,23088,0.380859375,0.294921875,1,1,5,14,1,627.670593261719,497.029632568359,0,1,faces,female,0,1,faces,A,female,VS,I,1,E04,0.201171875
0,1,0,23094,1.921875,0.220703125,2,1,13,52,7,1059.93713378906,772.957946777344,0,1,faces,male,0,1,faces,A,female,VS,I,1,E04,0.201171875
0,1,0,23095,2.166015625,0.203125,3,1,14,54,8,1027.41882324219,925.081970214844,0,1,faces,female,0,1,faces,A,female,VS,I,1,E04,0.201171875
0,1,1,23096,2.435546875,0.16796875,4,1,6,15,9,632.272216796875,598.161193847656,0,1,faces,male,0,1,faces,A,female,VS,I,1,E04,0.201171875
0,1,0,23107,0.208984375,0.216796875,1,1,6,42,1,947.011962890625,662.171325683594,0,1,faces,female,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,1,0,23108,0.45703125,0.109375,2,1,3,25,2,771.5869140625,747.442932128906,0,1,objects,small,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,1,0,23109,0.603515625,0.201171875,3,1,1,5,3,533.082275390625,525.327209472656,0,1,objects,big,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,1,0,23111,1.033203125,0.14453125,4,1,4,39,5,926.611999511719,316.064208984375,0,1,faces,female,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,1,1,23112,1.203125,0.19140625,5,0,11,58,6,1137.51501464844,411.801849365234,1,0,NaN,NaN,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,0,1,23114,2.5625,0.142578125,6,0,10,53,8,1024.03625488281,809.200012207031,0,1,faces,female,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,0,0,23116,3.001953125,0.376953125,7,0,15,80,10,1390.32434082031,827.691650390625,0,1,objects,big,1,1,objects,P,big,VS,O,2,E04,4.400390625
0,0,0,23117,3.447265625,0.146484375,8,0,2,10,11,632.060546875,97.7944107055664,0,1,faces,male,1,1,objects,P,big,VS,O,2,E04,4.400390625
1,1,0,23134,0.19140625,0.318359375,1,1,8,34,1,856.395141601562,727.585388183594,0,1,faces,female,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,1,23135,0.552734375,0.134765625,2,1,1,4,2,526.855773925781,458.969665527344,0,1,objects,small,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,0,23138,1.0859375,0.287109375,3,1,9,40,5,951.616394042969,398.5869140625,0,1,faces,male,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,1,23140,1.5546875,0.1875,4,1,10,56,7,1116.0849609375,196.683578491211,0,1,faces,male,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,1,23142,1.935546875,0.15234375,5,0,4,12,9,627.589660644531,365.617828369141,0,1,objects,big,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,1,23147,2.9140625,0.22265625,6,0,15,78,14,1332.34692382812,660.513366699219,0,1,faces,male,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,0,23149,3.3125,0.19140625,7,0,14,76,16,1358.88586425781,461.423278808594,0,1,objects,big,0,1,faces,A,female,EX,F,3,E04,8.599609375
2,1,0,23151,3.697265625,0.296875,8,0,8,34,18,857.8212890625,742.085754394531,0,1,faces,female,0,1,faces,A,female,EX,F,3,E04,8.599609375
0,1,0,23168,0.263671875,0.185546875,1,1,3,13,1,623.665222167969,420.702331542969,0,1,faces,male,1,1,objects,P,small,VS,O,4,E04,12.798828125
0,1,0,23169,0.486328125,0.111328125,2,1,2,11,2,632.425537109375,216.064514160156,0,1,objects,small,1,1,objects,P,small,VS,O,4,E04,12.798828125
1,0,0,23170,0.630859375,0.240234375,3,1,5,39,3,930.882751464844,290.745422363281,1,0,NaN,NaN,1,1,objects,P,small,VS,O,4,E04,12.798828125
0,0,0,23171,0.8984375,0.140625,4,1,8,47,4,1077.94287109375,230.6435546875,0,1,objects,big,1,1,objects,P,small,VS,O,4,E04,12.798828125
2,0,0,23172,1.0625,0.4375,5,0,5,39,5,924.950073242188,306.319091796875,1,0,NaN,NaN,1,1,objects,P,small,VS,O,4,E04,12.798828125
