refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
1,1,1,19742,0.521484375,0.125,1,1,10,37,3,1007.35479736328,170.978500366211,0,1,faces,female,0,0,faces,A,female,VS,I,1,E10,0.201171875
0,1,0,19744,0.81640625,0.220703125,2,1,12,46,5,1072.77478027344,185.667037963867,0,1,faces,female,0,0,faces,A,female,VS,I,1,E10,0.201171875
2,1,1,19745,1.068359375,0.15625,3,1,10,37,6,952.397277832031,187.124877929688,0,1,faces,female,0,0,faces,A,female,VS,I,1,E10,0.201171875
0,1,0,19747,2.197265625,0.11328125,4,1,4,13,8,629.161743164062,458.816925048828,0,1,objects,big,0,0,faces,A,female,VS,I,1,E10,0.201171875
0,1,0,19748,2.333984375,0.125,5,0,2,4,9,569.171508789062,462.754119873047,0,1,objects,small,0,0,faces,A,female,VS,I,1,E10,0.201171875
1,1,0,19749,2.498046875,0.29296875,6,0,5,14,10,658.894165039062,569.521118164062,0,1,faces,female,0,0,faces,A,female,VS,I,1,E10,0.201171875
0,1,0,19750,2.81640625,0.146484375,7,0,6,15,11,672.174499511719,645.363708496094,0,1,faces,male,0,0,faces,A,female,VS,I,1,E10,0.201171875
2,1,1,19751,2.998046875,0.1796875,8,0,5,14,12,674.385864257812,561.439453125,0,1,faces,female,0,0,faces,A,female,VS,I,1,E10,0.201171875
1,1,1,19759,0.255859375,0.119140625,1,1,6,42,1,963.393981933594,607.668151855469,0,1,faces,female,1,1,objects,P,big,VS,O,2,E10,4.400390625
0,1,0,19761,0.552734375,0.130859375,2,1,9,52,3,1077.54748535156,762.139587402344,0,1,faces,female,1,1,objects,P,big,VS,O,2,E10,4.400390625
0,1,0,19763,0.974609375,0.16796875,3,1,14,76,5,1322.546875,397.813598632812,0,1,faces,male,1,1,objects,P,big,VS,O,2,E10,4.400390625
0,0,1,19765,1.283203125,0.345703125,4,1,11,58,7,1164.68896484375,460.311431884766,1,0,NaN,NaN,1,1,objects,P,big,VS,O,2,E10,4.400390625
