refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,25471,0.23828125,0.380859375,1,1,5,22,1,713.184387207031,454.558563232422,0,1,faces,male,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25472,0.634765625,0.255859375,2,1,7,32,2,825.898376464844,558.04248046875,0,1,faces,male,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25474,1.048828125,0.27734375,3,1,10,47,4,1046.14282226562,259.015502929688,0,1,faces,female,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25476,1.544921875,0.13671875,4,1,2,10,6,633.948669433594,179.681732177734,0,1,objects,big,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25477,1.736328125,0.271484375,5,0,12,73,7,1377.33349609375,160.995361328125,0,1,faces,female,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25478,2.021484375,0.2109375,6,0,13,74,8,1344.80224609375,241.611999511719,0,1,faces,female,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25479,2.265625,0.43359375,7,0,15,78,9,1339.32727050781,605.301635742188,0,1,faces,male,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25480,2.716796875,0.29296875,8,0,11,71,10,1244.22192382812,860.965026855469,0,1,faces,male,0,1,faces,A,male,VS,F,1,J12,0.201171875
0,1,0,25506,0.408203125,0.34765625,1,1,4,22,2,729.525451660156,470.091918945312,0,1,objects,small,0,1,faces,A,female,EX,I,2,J12,4.400390625
0,1,0,25507,0.7890625,0.302734375,2,1,8,41,3,945.082763671875,552.667175292969,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
1,1,0,25508,1.109375,0.181640625,3,1,9,59,4,1183.66772460938,538.909423828125,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
1,1,0,25509,1.3046875,0.376953125,4,1,11,68,5,1265.33666992188,541.027221679688,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
0,1,0,25510,1.693359375,0.341796875,5,0,12,69,6,1257.74487304688,653.777221679688,0,1,objects,big,0,1,faces,A,female,EX,I,2,J12,4.400390625
0,1,0,25511,2.060546875,0.28125,6,0,10,61,7,1140.21447753906,757.732177734375,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
2,1,0,25512,2.357421875,0.294921875,7,0,9,59,8,1158.92102050781,560.324890136719,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
2,1,0,25513,2.677734375,0.349609375,8,0,11,68,9,1253.67932128906,562.14453125,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
3,1,0,25514,3.056640625,0.154296875,9,0,9,59,10,1139.044921875,550.698364257812,0,1,faces,male,0,1,faces,A,female,EX,I,2,J12,4.400390625
0,1,0,25515,3.236328125,0.322265625,10,0,14,74,11,1343.95971679688,288.872192382812,0,1,objects,big,0,1,faces,A,female,EX,I,2,J12,4.400390625
0,1,0,25516,3.5703125,0.19140625,11,0,13,73,12,1370.06567382812,162.148330688477,0,1,faces,female,0,1,faces,A,female,EX,I,2,J12,4.400390625
1,1,0,25533,0.30859375,0.25,1,1,4,22,1,736.596618652344,425.447540283203,0,1,objects,big,0,1,faces,A,female,EX,F,3,J12,8.599609375
1,1,0,25534,0.568359375,0.1953125,2,1,3,21,2,734.759765625,341.549255371094,0,1,faces,male,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25535,0.783203125,0.51953125,3,1,1,2,3,525.107116699219,272.331787109375,0,1,faces,female,0,1,faces,A,female,EX,F,3,J12,8.599609375
1,1,0,25536,1.341796875,0.2578125,4,1,6,30,4,841.552795410156,340.601745605469,0,1,faces,male,0,1,faces,A,female,EX,F,3,J12,8.599609375
2,1,0,25537,1.62890625,0.271484375,5,0,3,21,5,721.765625,352.745239257812,0,1,faces,male,0,1,faces,A,female,EX,F,3,J12,8.599609375
2,1,0,25538,1.9140625,0.126953125,6,0,4,22,6,753.750122070312,432.599395751953,0,1,objects,big,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25539,2.052734375,0.314453125,7,0,7,31,7,826.304443359375,445.74169921875,0,1,objects,big,0,1,faces,A,female,EX,F,3,J12,8.599609375
2,1,0,25540,2.375,0.23046875,8,0,6,30,8,816.940002441406,336.905700683594,0,1,faces,male,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25541,2.646484375,0.30078125,9,0,9,60,9,1148.97009277344,676.327514648438,0,1,objects,small,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25542,2.97265625,0.291015625,10,0,11,69,10,1276.6875,657.25,0,1,faces,female,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25543,3.291015625,0.19140625,11,0,13,78,11,1389.06188964844,658.250122070312,0,1,faces,male,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25545,3.7890625,0.220703125,12,0,14,80,13,1357.38098144531,884.654602050781,0,1,faces,female,0,1,faces,A,female,EX,F,3,J12,8.599609375
0,1,0,25567,1.39453125,0.203125,1,1,5,19,4,721.248779296875,130.592300415039,0,1,faces,female,0,1,faces,P,female,VS,I,4,J12,12.798828125
0,1,0,25568,1.642578125,0.232421875,2,1,11,55,5,1145,152.711334228516,0,1,objects,big,0,1,faces,P,female,VS,I,4,J12,12.798828125
0,1,0,25569,1.90234375,0.255859375,3,1,13,65,6,1248.66528320312,242.934967041016,0,1,faces,male,0,1,faces,P,female,VS,I,4,J12,12.798828125
