refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency
0,1,0,21630,0.33203125,0.14453125,1,1,8,29,2,853.353820800781,259.903503417969,0,1,objects,big,0,0,faces,A,female,VS,I,1,E07,0.201171875
1,1,0,21631,0.51171875,0.24609375,2,1,10,37,3,956.051513671875,172.595260620117,0,1,faces,female,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21632,0.78515625,0.220703125,3,1,12,46,4,1041.80920410156,180.413421630859,0,1,faces,female,0,0,faces,A,female,VS,I,1,E07,0.201171875
2,1,0,21633,1.03125,0.42578125,4,1,10,37,5,946.00830078125,183.689590454102,0,1,faces,female,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,1,21634,1.515625,0.173828125,5,0,13,52,6,1082.36096191406,782.01220703125,0,1,faces,male,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21636,1.904296875,0.265625,6,0,15,80,8,1385.404296875,854.284545898438,0,1,objects,big,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,1,21637,2.208984375,0.12890625,7,0,11,45,9,1008.99987792969,959.555236816406,0,1,faces,male,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21640,2.81640625,0.103515625,8,0,9,33,12,843.006958007812,666.094909667969,0,1,faces,female,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21641,2.951171875,0.265625,9,0,6,15,13,634.8486328125,674.445373535156,0,1,faces,male,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21643,3.51953125,0.30078125,10,0,5,14,15,630.108337402344,547.802734375,0,1,faces,female,0,0,faces,A,female,VS,I,1,E07,0.201171875
0,1,0,21656,0.205078125,0.185546875,1,1,6,42,1,932.055786132812,632.563598632812,0,1,faces,female,1,1,objects,P,big,VS,O,2,E07,4.400390625
0,1,1,21657,0.421875,0.138671875,2,1,3,25,2,782.627746582031,758.113220214844,0,1,objects,small,1,1,objects,P,big,VS,O,2,E07,4.400390625
0,1,0,21661,1.12890625,0.146484375,3,1,10,53,6,1075.08679199219,861.183410644531,0,1,faces,female,1,1,objects,P,big,VS,O,2,E07,4.400390625
0,1,1,21662,1.318359375,0.2421875,4,1,15,80,7,1396.15405273438,851.218811035156,0,1,objects,big,1,1,objects,P,big,VS,O,2,E07,4.400390625
0,0,1,21666,2.443359375,0.423828125,5,0,11,58,11,1146.02551269531,467.634979248047,1,0,NaN,NaN,1,1,objects,P,big,VS,O,2,E07,4.400390625
1,1,1,21677,0.263671875,0.4296875,1,1,8,34,1,840.88232421875,761.680725097656,0,1,faces,female,0,1,faces,A,female,EX,F,3,E07,8.599609375
0,1,0,21680,1.037109375,0.291015625,2,1,6,27,4,735.497253417969,977.446838378906,0,1,faces,female,0,1,faces,A,female,EX,F,3,E07,8.599609375
2,1,0,21681,1.3671875,0.232421875,3,1,8,34,5,848.306396484375,772.354553222656,0,1,faces,female,0,1,faces,A,female,EX,F,3,E07,8.599609375
0,1,0,21682,1.642578125,0.291015625,4,1,11,63,6,1160.69665527344,964.508911132812,0,1,faces,female,0,1,faces,A,female,EX,F,3,E07,8.599609375
0,1,0,21684,2.15625,0.234375,5,0,12,69,8,1262.78784179688,675.547424316406,0,1,objects,small,0,1,faces,A,female,EX,F,3,E07,8.599609375
0,1,0,21685,2.41796875,0.251953125,6,0,15,78,9,1383.91162109375,666.346984863281,0,1,faces,male,0,1,faces,A,female,EX,F,3,E07,8.599609375
