refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNTpre_VSNTpost
0,0.0,0,23418,1.291015625,0.17578125,3.0,1.0,7,22,6,750.412353515625,423.906799316406,0,1,objects,small,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23419,1.505859375,0.23046875,4.0,1.0,9,31,7,849.890441894531,442.05224609375,0,1,faces,male,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23420,1.80078125,0.18359375,5.0,0.0,6,15,8,617.383117675781,608.026489257812,0,1,objects,big,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23421,2.048828125,0.2265625,6.0,0.0,1,7,9,541.074951171875,755.261596679688,0,1,faces,male,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,1,23422,2.318359375,0.265625,7.0,0.0,2,8,10,542.432556152344,840.93603515625,0,1,faces,male,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23425,2.99609375,0.234375,8.0,0.0,10,43,13,950.592956542969,752.987609863281,0,1,faces,male,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23426,3.29296875,0.150390625,9.0,0.0,13,61,14,1141.02416992188,748.578430175781,0,1,faces,female,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23427,3.50390625,0.130859375,10.0,0.0,15,71,15,1246.46472167969,835.325561523438,0,1,faces,female,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,0.0,0,23429,3.875,0.224609375,11.0,0.0,14,67,17,1230.85424804688,443.009399414062,0,1,faces,female,0,1,faces,A,male,VS,I,10,E01,37.994140625,0
0,1.0,0,23451,0.650390625,0.208984375,2.0,1.0,8,39,3,970.197814941406,349.411865234375,0,1,faces,female,1,1,faces,P,female,VS,I,11,E01,42.193359375,1
0,1.0,0,23454,2.546875,0.22265625,4.0,1.0,2,15,6,651.507019042969,624.505432128906,0,1,faces,female,1,1,faces,P,female,VS,I,11,E01,42.193359375,1
